Id Sankce,ID kontroly,Vyse pokuty,Zakon
100991,221503040023901,100000,zak. 634/1992
100997,211508280150701,1000,zak. 634/1992
101002,241508280400901,5000,zak. 634/1992
101004,221508280024001,1000,zak. 634/1992
101005,221508150020902,1000,zak. 634/1992
101007,101508280009502,2000,zak. 634/1992
101009,101508280038001,1000,zak. 634/1992
101011,211508280103501,1000,zak. 634/1992
101013,301508280702801,1000,zak. 634/1992
101015,101508140912702,1000,zak. 634/1992
101017,101508280032501,1000,zak. 634/1992
101019,101508280032502,4000,zak. 634/1992
101022,101508280038301,2000,zak. 634/1992
101024,101508280043601,2000,zak. 634/1992
101026,101508289043102,1000,zak. 634/1992
101028,271508250018301,1000,zak. 634/1992
101030,211508270015101,1000,zak. 634/1992
101032,211508260104401,1000,zak. 634/1992
101034,211508280104401,2000,zak. 634/1992
101036,211508280039001,1000,zak. 634/1992
101038,211508290039001,1000,zak. 634/1992
101040,211508280039002,1000,zak. 634/1992
101041,221508040023899,2000,zak. 634/1992
101043,101508270041103,3000,zak. 634/1992
101045,211508280154001,1000,zak. 634/1992
101047,311508280602901,1000,zak. 634/1992
101049,401508250041801,1000,zak. 634/1992
101050,301508289808901,1000,zak. 634/1992
101052,271508270032702,1000,zak. 634/1992
101054,271508290032701,1000,zak. 634/1992
101056,311508250044001,1000,zak. 634/1992
101058,311508280044001,1000,zak. 634/1992
101060,311508270044001,1000,zak. 634/1992
101062,211508290043801,1000,zak. 634/1992
101064,401508260011001,3000,zak. 634/1992
101067,221506220024099,3000,zak. 634/1992
101068,221506220024099,1000,zak. 22/1997
101069,301508069808901,1000,Nař. 1007/2011
101071,271507200504501,1000,zak. 64/1986
101074,271508260308901,2000,zak. 634/1992
